Language_Code,Language_Name,Favorable_View,Mean_Sentiment,Median_Sentiment,Standard_Deviation
pl,Polish,86,0.328,0.314,0.07
it,Italian,56,0.336,0.323,0.071
hu,Hungarian,52,0.325,0.31,0.069
de,German,49,0.343,0.327,0.079
nl,Dutch,48,0.338,0.321,0.082
el,Greek,48,0.32,0.306,0.06
sv,Swedish,47,0.319,0.309,0.056
ko,Korean,77,0.321,0.313,0.055
th,Thai,77,0.287,0.271,0.049
tl,Filipino,74,0.302,0.3,0.041
ja,Japanese,70,0.327,0.318,0.056
si,Sinhala,57,0.432,0.428,0.027
bn,Bengali,52,0.327,0.321,0.044
hi,Hindi,51,0.3,0.296,0.018
ms,Malay,35,0.334,0.318,0.069
he,Hebrew,77,0.335,0.325,0.063
tr,Turkish,18,0.312,0.299,0.053
