Article_Title,Language,Mean_Sentiment_Score,Median_Sentiment_Score,Standard_Deviation
Joe Biden,en,0.376,0.347,0.105
Joe Biden,pl,0.345,0.311,0.090
Joe Biden,it,0.346,0.328,0.087
Joe Biden,hu,0.357,0.321,0.112
Joe Biden,de,0.382,0.349,0.119
Joe Biden,nl,0.339,0.329,0.066
Joe Biden,el,0.327,0.313,0.064
Joe Biden,sv,0.333,0.319,0.072
Joe Biden,ko,0.289,0.276,0.041
Joe Biden,th,0.305,0.280,0.068
Joe Biden,tl,0.288,0.275,0.048
Joe Biden,ja,0.324,0.312,0.062
Joe Biden,si,0.355,0.305,0.119
Joe Biden,bn,0.326,0.309,0.065
Joe Biden,hi,0.305,0.304,0.048
Joe Biden,ms,0.345,0.329,0.088
Joe Biden,he,0.337,0.334,0.062
Joe Biden,tr,0.341,0.320,0.080
Donald Trump,en,0.460,0.449,0.148
Donald Trump,pl,NA,NA,NA
Donald Trump,it,0.381,0.350,0.125
Donald Trump,hu,0.433,0.406,0.139
Donald Trump,de,0.421,0.394,0.131
Donald Trump,nl,0.453,0.439,0.130
Donald Trump,el,0.344,0.326,0.097
Donald Trump,sv,0.356,0.333,0.111
Donald Trump,ko,0.348,0.343,0.072
Donald Trump,th,0.311,0.288,0.074
Donald Trump,tl,0.362,0.381,0.061
Donald Trump,ja,0.357,0.328,0.095
Donald Trump,si,0.392,0.387,0.080
Donald Trump,bn,0.346,0.327,0.083
Donald Trump,hi,0.345,0.324,0.080
Donald Trump,ms,0.341,0.314,0.088
Donald Trump,he,0.367,0.342,0.101
Donald Trump,tr,0.418,0.393,0.137
Barack Obama,en,0.354,0.319,0.101
Barack Obama,pl,0.338,0.317,0.095
Barack Obama,it,0.344,0.327,0.087
Barack Obama,hu,0.320,0.306,0.060
Barack Obama,de,0.369,0.338,0.117
Barack Obama,nl,0.329,0.305,0.072
Barack Obama,el,0.318,0.306,0.070
Barack Obama,sv,0.316,0.296,0.084
Barack Obama,ko,0.327,0.320,0.057
Barack Obama,th,0.309,0.283,0.090
Barack Obama,tl,0.291,0.269,0.059
Barack Obama,ja,0.327,0.314,0.056
Barack Obama,si,0.417,0.417,0.080
Barack Obama,bn,0.316,0.306,0.060
Barack Obama,hi,0.327,0.300,0.057
Barack Obama,ms,0.327,0.319,0.073
Barack Obama,he,0.330,0.318,0.061
Barack Obama,tr,0.329,0.294,0.085
George W. Bush,en,0.373,0.347,0.103
George W. Bush,pl,0.365,0.345,0.097
George W. Bush,it,0.342,0.326,0.089
George W. Bush,hu,0.365,0.317,0.149
George W. Bush,de,0.355,0.351,0.081
George W. Bush,nl,0.361,0.335,0.107
George W. Bush,el,0.300,0.292,0.035
George W. Bush,sv,0.340,0.329,0.075
George W. Bush,ko,0.338,0.323,0.048
George W. Bush,th,0.311,0.296,0.065
George W. Bush,tl,0.327,0.340,0.033
George W. Bush,ja,0.342,0.307,0.096
George W. Bush,si,0.429,0.429,0.000
George W. Bush,bn,0.333,0.319,0.075
George W. Bush,hi,0.336,0.336,0.065
George W. Bush,ms,0.354,0.338,0.082
George W. Bush,he,0.340,0.323,0.072
George W. Bush,tr,0.371,0.339,0.108
Bill Clinton,en,0.361,0.342,0.094
Bill Clinton,pl,0.317,0.304,0.061
Bill Clinton,it,0.345,0.324,0.086
Bill Clinton,hu,0.296,0.289,0.030
Bill Clinton,de,0.333,0.323,0.067
Bill Clinton,nl,0.369,0.348,0.094
Bill Clinton,el,0.315,0.287,0.066
Bill Clinton,sv,0.302,0.306,0.031
Bill Clinton,ko,0.342,0.346,0.045
Bill Clinton,th,0.269,0.267,0.031
Bill Clinton,tl,0.298,0.298,0.000
Bill Clinton,ja,0.348,0.346,0.086
Bill Clinton,si,0.362,0.351,0.035
Bill Clinton,bn,0.330,0.329,0.033
Bill Clinton,hi,0.314,0.314,0.031
Bill Clinton,ms,0.352,0.337,0.066
Bill Clinton,he,0.337,0.326,0.071
Bill Clinton,tr,0.323,0.304,0.068
George H. W. Bush,en,0.344,0.326,0.080
George H. W. Bush,pl,0.323,0.307,0.068
George H. W. Bush,it,0.319,0.302,0.079
George H. W. Bush,hu,0.322,0.318,0.057
George H. W. Bush,de,0.329,0.307,0.076
George H. W. Bush,nl,0.342,0.326,0.087
George H. W. Bush,el,0.314,0.298,0.084
George H. W. Bush,sv,0.306,0.296,0.054
George H. W. Bush,ko,0.342,0.336,0.069
George H. W. Bush,th,0.268,0.268,0.034
George H. W. Bush,tl,0.273,0.273,0.000
George H. W. Bush,ja,0.329,0.313,0.062
George H. W. Bush,si,0.383,0.383,0.046
George H. W. Bush,bn,0.347,0.341,0.049
George H. W. Bush,hi,0.313,0.313,0.041
George H. W. Bush,ms,0.315,0.277,0.082
George H. W. Bush,he,0.335,0.328,0.058
George H. W. Bush,tr,0.317,0.290,0.077
Ronald Reagan,en,0.345,0.331,0.075
Ronald Reagan,pl,0.334,0.324,0.078
Ronald Reagan,it,0.348,0.342,0.083
Ronald Reagan,hu,0.326,0.316,0.062
Ronald Reagan,de,0.350,0.333,0.104
Ronald Reagan,nl,0.355,0.323,0.111
Ronald Reagan,el,0.302,0.307,0.037
Ronald Reagan,sv,0.337,0.337,0.067
Ronald Reagan,ko,0.306,0.309,0.041
Ronald Reagan,th,0.255,0.257,0.007
Ronald Reagan,tl,0.333,0.339,0.028
Ronald Reagan,ja,0.318,0.298,0.064
Ronald Reagan,si,0.334,0.324,0.060
Ronald Reagan,bn,0.342,0.350,0.021
Ronald Reagan,hi,0.301,0.301,0.000
Ronald Reagan,ms,0.359,0.333,0.090
Ronald Reagan,he,0.335,0.332,0.056
Ronald Reagan,tr,0.338,0.300,0.090
Jimmy Carter,en,0.343,0.317,0.085
Jimmy Carter,pl,0.340,0.319,0.072
Jimmy Carter,it,0.359,0.336,0.091
Jimmy Carter,hu,0.316,0.301,0.061
Jimmy Carter,de,0.346,0.329,0.077
Jimmy Carter,nl,0.325,0.301,0.081
Jimmy Carter,el,0.326,0.309,0.074
Jimmy Carter,sv,0.323,0.310,0.063
Jimmy Carter,ko,0.327,0.329,0.054
Jimmy Carter,th,0.307,0.290,0.070
Jimmy Carter,tl,0.242,0.242,0.000
Jimmy Carter,ja,0.312,0.296,0.056
Jimmy Carter,si,0.488,0.488,0.005
Jimmy Carter,bn,0.346,0.327,0.071
Jimmy Carter,hi,0.302,0.304,0.051
Jimmy Carter,ms,0.347,0.340,0.067
Jimmy Carter,he,0.330,0.321,0.061
Jimmy Carter,tr,0.325,0.317,0.086
Gerald Ford,en,0.351,0.330,0.084
Gerald Ford,pl,0.359,0.303,0.111
Gerald Ford,it,0.325,0.339,0.063
Gerald Ford,hu,0.371,0.341,0.092
Gerald Ford,de,0.332,0.321,0.071
Gerald Ford,nl,0.295,0.271,0.068
Gerald Ford,el,0.297,0.286,0.048
Gerald Ford,sv,0.328,0.340,0.051
Gerald Ford,ko,0.318,0.314,0.049
Gerald Ford,th,0.277,0.261,0.042
Gerald Ford,tl,0.296,0.296,0.056
Gerald Ford,ja,0.338,0.341,0.050
Gerald Ford,si,0.477,0.477,0.000
Gerald Ford,bn,0.308,0.294,0.064
Gerald Ford,hi,0.290,0.290,0.000
Gerald Ford,ms,0.306,0.294,0.048
Gerald Ford,he,0.321,0.312,0.053
Gerald Ford,tr,0.321,0.303,0.050
Richard Nixon,en,0.345,0.325,0.090
Richard Nixon,pl,0.335,0.312,0.080
Richard Nixon,it,0.351,0.323,0.091
Richard Nixon,hu,0.329,0.329,0.065
Richard Nixon,de,0.330,0.308,0.077
Richard Nixon,nl,0.323,0.297,0.098
Richard Nixon,el,0.317,0.321,0.058
Richard Nixon,sv,0.316,0.309,0.053
Richard Nixon,ko,0.299,0.280,0.052
Richard Nixon,th,0.296,0.269,0.070
Richard Nixon,tl,0.295,0.292,0.027
Richard Nixon,ja,0.334,0.311,0.068
Richard Nixon,si,NA,NA,NA
Richard Nixon,bn,0.328,0.320,0.052
Richard Nixon,hi,0.291,0.291,0.000
Richard Nixon,ms,0.348,0.310,0.094
Richard Nixon,he,0.330,0.317,0.063
Richard Nixon,tr,0.347,0.316,0.088
Lyndon B. Johnson,en,0.354,0.341,0.092
Lyndon B. Johnson,pl,0.336,0.306,0.104
Lyndon B. Johnson,it,0.356,0.339,0.086
Lyndon B. Johnson,hu,0.315,0.314,0.048
Lyndon B. Johnson,de,0.338,0.324,0.074
Lyndon B. Johnson,nl,0.297,0.298,0.055
Lyndon B. Johnson,el,0.352,0.291,0.139
Lyndon B. Johnson,sv,0.314,0.310,0.048
Lyndon B. Johnson,ko,0.329,0.330,0.051
Lyndon B. Johnson,th,0.279,0.245,0.064
Lyndon B. Johnson,tl,0.296,0.296,0.056
Lyndon B. Johnson,ja,0.328,0.326,0.060
Lyndon B. Johnson,si,NA,NA,NA
Lyndon B. Johnson,bn,0.359,0.340,0.068
Lyndon B. Johnson,hi,0.253,0.253,0.008
Lyndon B. Johnson,ms,0.299,0.269,0.065
Lyndon B. Johnson,he,0.332,0.329,0.055
Lyndon B. Johnson,tr,0.304,0.306,0.038
John F. Kennedy,en,0.341,0.325,0.082
John F. Kennedy,pl,0.332,0.319,0.087
John F. Kennedy,it,0.365,0.348,0.087
John F. Kennedy,hu,0.329,0.313,0.074
John F. Kennedy,de,0.331,0.318,0.065
John F. Kennedy,nl,0.333,0.300,0.099
John F. Kennedy,el,0.337,0.332,0.063
John F. Kennedy,sv,0.295,0.278,0.056
John F. Kennedy,ko,0.320,0.312,0.065
John F. Kennedy,th,0.305,0.283,0.087
John F. Kennedy,tl,0.335,0.321,0.059
John F. Kennedy,ja,0.331,0.321,0.065
John F. Kennedy,si,0.334,0.334,0.020
John F. Kennedy,bn,0.326,0.311,0.062
John F. Kennedy,hi,0.319,0.297,0.052
John F. Kennedy,ms,0.329,0.294,0.140
John F. Kennedy,he,0.339,0.329,0.067
John F. Kennedy,tr,0.307,0.295,0.066
Dwight D. Eisenhower,en,0.353,0.330,0.089
Dwight D. Eisenhower,pl,0.342,0.311,0.104
Dwight D. Eisenhower,it,0.344,0.339,0.052
Dwight D. Eisenhower,hu,0.306,0.296,0.032
Dwight D. Eisenhower,de,0.340,0.323,0.079
Dwight D. Eisenhower,nl,0.307,0.296,0.074
Dwight D. Eisenhower,el,0.358,0.340,0.076
Dwight D. Eisenhower,sv,0.307,0.308,0.034
Dwight D. Eisenhower,ko,0.323,0.321,0.069
Dwight D. Eisenhower,th,0.262,0.267,0.017
Dwight D. Eisenhower,tl,0.309,0.303,0.017
Dwight D. Eisenhower,ja,0.315,0.309,0.051
Dwight D. Eisenhower,si,0.485,0.485,0.000
Dwight D. Eisenhower,bn,0.276,0.276,0.030
Dwight D. Eisenhower,hi,0.294,0.298,0.017
Dwight D. Eisenhower,ms,0.319,0.300,0.116
Dwight D. Eisenhower,he,0.324,0.318,0.052
Dwight D. Eisenhower,tr,0.311,0.289,0.067
Harry S. Truman,en,0.343,0.329,0.090
Harry S. Truman,pl,0.314,0.299,0.076
Harry S. Truman,it,0.316,0.315,0.055
Harry S. Truman,hu,0.350,0.336,0.091
Harry S. Truman,de,0.331,0.315,0.072
Harry S. Truman,nl,0.318,0.290,0.079
Harry S. Truman,el,0.364,0.338,0.089
Harry S. Truman,sv,0.331,0.320,0.072
Harry S. Truman,ko,0.322,0.304,0.054
Harry S. Truman,th,0.283,0.253,0.055
Harry S. Truman,tl,0.343,0.343,0.009
Harry S. Truman,ja,0.313,0.298,0.054
Harry S. Truman,si,0.485,0.485,0.000
Harry S. Truman,bn,0.342,0.341,0.027
Harry S. Truman,hi,0.321,0.308,0.061
Harry S. Truman,ms,0.379,0.368,0.114
Harry S. Truman,he,0.328,0.313,0.070
Harry S. Truman,tr,0.357,0.341,0.119
Franklin D. Roosevelt,en,0.342,0.324,0.085
Franklin D. Roosevelt,pl,0.340,0.315,0.080
Franklin D. Roosevelt,it,0.354,0.337,0.094
Franklin D. Roosevelt,hu,0.320,0.305,0.076
Franklin D. Roosevelt,de,0.349,0.324,0.091
Franklin D. Roosevelt,nl,0.321,0.306,0.061
Franklin D. Roosevelt,el,0.311,0.291,0.051
Franklin D. Roosevelt,sv,0.349,0.324,0.126
Franklin D. Roosevelt,ko,0.324,0.316,0.055
Franklin D. Roosevelt,th,0.300,0.269,0.086
Franklin D. Roosevelt,tl,0.294,0.256,0.062
Franklin D. Roosevelt,ja,0.313,0.307,0.048
Franklin D. Roosevelt,si,0.307,0.304,0.009
Franklin D. Roosevelt,bn,0.346,0.335,0.052
Franklin D. Roosevelt,hi,0.330,0.313,0.058
Franklin D. Roosevelt,ms,0.326,0.324,0.089
Franklin D. Roosevelt,he,0.344,0.327,0.078
Franklin D. Roosevelt,tr,0.329,0.316,0.074
Herbert Hoover,en,0.352,0.336,0.077
Herbert Hoover,pl,0.349,0.332,0.099
Herbert Hoover,it,0.304,0.301,0.034
Herbert Hoover,hu,0.338,0.344,0.056
Herbert Hoover,de,0.359,0.341,0.108
Herbert Hoover,nl,0.356,0.321,0.097
Herbert Hoover,el,0.312,0.304,0.043
Herbert Hoover,sv,0.289,0.282,0.026
Herbert Hoover,ko,0.345,0.333,0.088
Herbert Hoover,th,0.252,0.246,0.019
Herbert Hoover,tl,0.296,0.296,0.056
Herbert Hoover,ja,0.314,0.303,0.047
Herbert Hoover,si,0.477,0.477,0.000
Herbert Hoover,bn,0.293,0.267,0.056
Herbert Hoover,hi,0.279,0.279,0.000
Herbert Hoover,ms,0.294,0.294,0.031
Herbert Hoover,he,0.344,0.327,0.078
Herbert Hoover,tr,0.343,0.301,0.078
Calvin Coolidge,en,0.343,0.324,0.086
Calvin Coolidge,pl,0.306,0.308,0.045
Calvin Coolidge,it,0.304,0.281,0.069
Calvin Coolidge,hu,0.348,0.280,0.152
Calvin Coolidge,de,0.330,0.314,0.068
Calvin Coolidge,nl,0.295,0.279,0.050
Calvin Coolidge,el,0.350,0.316,0.098
Calvin Coolidge,sv,0.327,0.301,0.073
Calvin Coolidge,ko,0.309,0.306,0.043
Calvin Coolidge,th,0.291,0.273,0.047
Calvin Coolidge,tl,0.296,0.296,0.056
Calvin Coolidge,ja,0.302,0.287,0.044
Calvin Coolidge,si,0.477,0.477,0.000
Calvin Coolidge,bn,0.332,0.332,0.047
Calvin Coolidge,hi,0.285,0.285,0.000
Calvin Coolidge,ms,0.327,0.328,0.065
Calvin Coolidge,he,0.335,0.321,0.063
Calvin Coolidge,tr,0.317,0.317,0.006
Warren G. Harding,en,0.347,0.319,0.095
Warren G. Harding,pl,0.300,0.304,0.039
Warren G. Harding,it,0.317,0.319,0.050
Warren G. Harding,hu,0.338,0.306,0.111
Warren G. Harding,de,0.331,0.306,0.079
Warren G. Harding,nl,0.308,0.271,0.096
Warren G. Harding,el,0.323,0.306,0.046
Warren G. Harding,sv,0.298,0.304,0.048
Warren G. Harding,ko,0.299,0.304,0.036
Warren G. Harding,th,0.268,0.268,0.000
Warren G. Harding,tl,0.296,0.296,0.056
Warren G. Harding,ja,0.344,0.355,0.076
Warren G. Harding,si,0.485,0.485,0.000
Warren G. Harding,bn,0.308,0.308,0.032
Warren G. Harding,hi,0.255,0.255,0.000
Warren G. Harding,ms,0.244,0.244,0.000
Warren G. Harding,he,0.338,0.330,0.062
Warren G. Harding,tr,0.236,0.236,0.000
Woodrow Wilson,en,0.345,0.334,0.078
Woodrow Wilson,pl,0.315,0.299,0.066
Woodrow Wilson,it,0.359,0.337,0.100
Woodrow Wilson,hu,0.352,0.277,0.150
Woodrow Wilson,de,0.334,0.311,0.087
Woodrow Wilson,nl,0.324,0.311,0.066
Woodrow Wilson,el,0.340,0.311,0.078
Woodrow Wilson,sv,0.301,0.292,0.047
Woodrow Wilson,ko,0.334,0.336,0.048
Woodrow Wilson,th,0.281,0.257,0.047
Woodrow Wilson,tl,0.327,0.327,0.010
Woodrow Wilson,ja,0.354,0.344,0.062
Woodrow Wilson,si,0.477,0.479,0.078
Woodrow Wilson,bn,0.354,0.326,0.055
Woodrow Wilson,hi,0.340,0.318,0.075
Woodrow Wilson,ms,0.283,0.282,0.031
Woodrow Wilson,he,0.336,0.323,0.059
Woodrow Wilson,tr,0.318,0.308,0.055
William Howard Taft,en,0.342,0.329,0.080
William Howard Taft,pl,0.309,0.300,0.060
William Howard Taft,it,0.336,0.315,0.065
William Howard Taft,hu,0.305,0.296,0.058
William Howard Taft,de,0.345,0.314,0.118
William Howard Taft,nl,0.360,0.331,0.099
William Howard Taft,el,0.245,0.245,0.002
William Howard Taft,sv,0.336,0.322,0.060
William Howard Taft,ko,0.319,0.292,0.071
William Howard Taft,th,0.278,0.298,0.040
William Howard Taft,tl,0.266,0.266,0.016
William Howard Taft,ja,0.330,0.347,0.036
William Howard Taft,si,0.493,0.493,0.000
William Howard Taft,bn,0.316,0.301,0.030
William Howard Taft,hi,0.270,0.270,0.000
William Howard Taft,ms,0.283,0.283,0.000
William Howard Taft,he,0.350,0.333,0.060
William Howard Taft,tr,0.258,0.266,0.035
Theodore Roosevelt,en,0.363,0.334,0.111
Theodore Roosevelt,pl,0.338,0.323,0.081
Theodore Roosevelt,it,0.343,0.346,0.071
Theodore Roosevelt,hu,0.319,0.300,0.063
Theodore Roosevelt,de,0.346,0.319,0.086
Theodore Roosevelt,nl,0.300,0.266,0.072
Theodore Roosevelt,el,0.300,0.304,0.040
